Matrix Size,Threads Count,Calculation Type,Average Result,Variance
128,1,simple,0.04564736666666667,2.5808082222221904e-08
128,2,simple,0.0235778,1.8066860000000073e-08
128,3,simple,0.0165613,1.0874180000000001e-08
128,4,simple,0.012656066666666667,2.0654222222223228e-10
128,5,simple,0.0108978,9.62720466666665e-08
128,6,simple,0.009612396666666667,7.490668088888917e-09
128,7,simple,0.013684300000000002,2.1258066666666296e-09
128,8,simple,0.013678833333333333,5.061422222222204e-10
128,9,simple,0.013028766666666669,3.0434288888888627e-09
128,10,simple,0.012335766666666666,1.4737099555555553e-07
128,11,simple,0.011678666666666669,5.1469935555555655e-08
128,12,simple,0.011772833333333335,6.211236222222223e-08
128,13,simple,0.0192895,3.6344453999999993e-07
128,14,simple,0.019493299999999998,5.037866599999995e-07
128,15,simple,0.019726166666666666,1.111973028888888e-06
128,16,simple,0.01882316666666667,2.220228688888891e-07
128,17,simple,0.020331066666666668,1.4964580288888878e-06
128,18,simple,0.020356333333333334,1.1893239088888905e-06
192,1,simple,0.15836166666666665,7.988470888888917e-06
192,2,simple,0.08200073333333334,1.8850002888888654e-07
192,3,simple,0.056735900000000006,6.038424666666715e-08
192,4,simple,0.04409556666666667,1.7393548888889042e-08
192,5,simple,0.036553633333333335,4.0125095555555805e-08
192,6,simple,0.0314798,1.3127446666666717e-08
192,7,simple,0.04512683333333334,9.219262222221814e-09
192,8,simple,0.04558213333333333,2.0817015555555012e-08
192,9,simple,0.04327586666666667,5.032150755555552e-07
192,10,simple,0.040886233333333334,1.4853016888888833e-07
192,11,simple,0.038444700000000005,5.111928666666644e-08
192,12,simple,0.036523966666666664,6.434592888888798e-08
192,13,simple,0.057002566666666664,9.829230288888868e-07
192,14,simple,0.05589326666666666,1.204110542222223e-06
192,15,simple,0.05684223333333333,2.1720201155555566e-06
192,16,simple,0.05842106666666667,3.301406822222246e-07
192,17,simple,0.058440933333333334,6.623927022222234e-07
192,18,simple,0.060759566666666674,5.742864088888891e-07
256,1,simple,0.38042366666666666,9.105288222222266e-06
256,2,simple,0.196767,4.671386666666774e-07
256,3,simple,0.14009533333333332,3.937680822222216e-05
256,4,simple,0.103385,2.4147799999999985e-07
256,5,simple,0.08594083333333331,4.424739288888905e-07
256,6,simple,0.07395906666666667,2.6260382222222648e-08
256,7,simple,0.10629666666666666,3.73176888888892e-07
256,8,simple,0.106447,1.3804199999999935e-07
256,9,simple,0.09924770000000001,6.277654466666615e-07
256,10,simple,0.09138343333333333,1.1260419555555597e-07
256,11,simple,0.08749473333333334,5.363049355555503e-07
256,12,simple,0.08511990000000001,2.883778326666655e-06
256,13,simple,0.11486700000000001,1.960987466666662e-05
256,14,simple,0.12301,1.6428871999999984e-05
256,15,simple,0.12099033333333335,1.1537848222222251e-05
256,16,simple,0.12398733333333334,1.3461124222222234e-05
256,17,simple,0.12296433333333333,1.598116822222221e-05
