Matrix Size,Threads Count,Calculation Type,Average Result,Variance
128,1,simple,0.0452825,0.0
128,2,simple,0.0235395,0.0
128,3,simple,0.0165057,0.0
128,4,simple,0.0126632,0.0
128,5,simple,0.0107708,0.0
128,6,simple,0.00963794,0.0
128,7,simple,0.0136747,0.0
128,8,simple,0.013741,0.0
128,9,simple,0.013061,0.0
128,10,simple,0.012304,0.0
128,11,simple,0.0114533,0.0
128,12,simple,0.0113846,0.0
128,13,simple,0.0173614,0.0
128,14,simple,0.0204629,0.0
128,15,simple,0.0197135,0.0
128,16,simple,0.0182999,0.0
128,17,simple,0.0215071,0.0
128,18,simple,0.0212832,0.0
192,1,simple,0.16246,0.0
192,2,simple,0.0822988,0.0
192,3,simple,0.0566411,0.0
192,4,simple,0.0446322,0.0
192,5,simple,0.0362143,0.0
192,6,simple,0.0314313,0.0
192,7,simple,0.0451309,0.0
192,8,simple,0.0463341,0.0
192,9,simple,0.0426248,0.0
192,10,simple,0.0403504,0.0
192,11,simple,0.0382318,0.0
192,12,simple,0.0364562,0.0
192,13,simple,0.0565665,0.0
192,14,simple,0.0552104,0.0
192,15,simple,0.0589905,0.0
192,16,simple,0.0625544,0.0
192,17,simple,0.059019,0.0
192,18,simple,0.0615519,0.0
256,1,simple,0.385252,0.0
256,2,simple,0.196789,0.0
256,3,simple,0.135813,0.0
256,4,simple,0.103304,0.0
256,5,simple,0.0850643,0.0
256,6,simple,0.0747743,0.0
256,7,simple,0.105555,0.0
256,8,simple,0.106281,0.0
256,9,simple,0.0988677,0.0
256,10,simple,0.0903704,0.0
256,11,simple,0.0867864,0.0
256,12,simple,0.0827161,0.0
256,13,simple,0.116504,0.0
256,14,simple,0.118911,0.0
256,15,simple,0.123074,0.0
256,16,simple,0.124709,0.0
256,17,simple,0.116727,0.0
256,18,simple,0.123441,0.0
320,1,simple,0.757372,0.0
320,2,simple,0.388114,0.0
320,3,simple,0.265432,0.0
320,4,simple,0.202548,0.0
320,5,simple,0.170293,0.0
320,6,simple,0.146377,0.0
320,7,simple,0.205577,0.0
320,8,simple,0.20579,0.0
320,9,simple,0.18896,0.0
320,10,simple,0.176809,0.0
320,11,simple,0.167377,0.0
320,12,simple,0.15828,0.0
320,13,simple,0.210972,0.0
320,14,simple,0.221106,0.0
320,15,simple,0.206906,0.0
320,16,simple,0.217526,0.0
320,17,simple,0.215076,0.0
320,18,simple,0.211727,0.0
384,1,simple,1.35105,0.0
384,2,simple,0.695103,0.0
384,3,simple,0.473407,0.0
384,4,simple,0.361038,0.0
384,5,simple,0.295445,0.0
384,6,simple,0.347688,0.0
384,7,simple,0.35629,0.0
384,8,simple,0.353055,0.0
384,9,simple,0.325129,0.0
384,10,simple,0.310474,0.0
384,11,simple,0.28554,0.0
384,12,simple,0.270142,0.0
384,13,simple,0.339539,0.0
384,14,simple,0.360988,0.0
384,15,simple,0.362031,0.0
384,16,simple,0.362758,0.0
384,17,simple,0.358422,0.0
384,18,simple,0.362098,0.0
448,1,simple,2.16651,0.0
448,2,simple,1.10797,0.0
448,3,simple,0.762752,0.0
448,4,simple,0.583559,0.0
448,5,simple,0.491823,0.0
448,6,simple,0.421444,0.0
448,7,simple,0.586454,0.0
448,8,simple,0.565265,0.0
448,9,simple,0.521473,0.0
448,10,simple,0.483721,0.0
448,11,simple,0.459208,0.0
448,12,simple,0.43324,0.0
448,13,simple,0.58079,0.0
448,14,simple,0.555039,0.0
448,15,simple,0.550925,0.0
448,16,simple,0.547754,0.0
448,17,simple,0.559685,0.0
448,18,simple,0.545534,0.0
512,1,simple,3.2403,0.0
512,2,simple,1.67288,0.0
512,3,simple,1.14029,0.0
512,4,simple,0.878871,0.0
512,5,simple,0.735125,0.0
512,6,simple,0.643419,0.0
512,7,simple,0.883242,0.0
512,8,simple,0.830222,0.0
512,9,simple,0.785663,0.0
512,10,simple,0.73093,0.0
512,11,simple,0.687765,0.0
512,12,simple,0.652678,0.0
512,13,simple,0.798899,0.0
512,14,simple,0.791582,0.0
512,15,simple,0.805086,0.0
512,16,simple,0.793515,0.0
512,17,simple,0.784883,0.0
512,18,simple,0.781293,0.0
576,1,simple,4.68065,0.0
576,2,simple,2.40094,0.0
576,3,simple,1.84323,0.0
576,4,simple,1.28243,0.0
576,5,simple,1.07189,0.0
576,6,simple,0.949442,0.0
576,7,simple,1.18916,0.0
576,8,simple,1.195,0.0
576,9,simple,1.10948,0.0
576,10,simple,1.04752,0.0
576,11,simple,0.975592,0.0
576,12,simple,0.936878,0.0
576,13,simple,1.11005,0.0
576,14,simple,1.13031,0.0
576,15,simple,1.12735,0.0
576,16,simple,1.11212,0.0
576,17,simple,1.11607,0.0
576,18,simple,1.07678,0.0
640,1,simple,6.46946,0.0
640,2,simple,3.30771,0.0
640,3,simple,2.30404,0.0
640,4,simple,1.80022,0.0
640,5,simple,1.48932,0.0
640,6,simple,1.31518,0.0
