Matrix Size,Threads Count,Calculation Type,Average Result,Variance
128,1,simple,0.04642728,5.8628541599999465e-08
128,2,simple,0.024110319999999998,3.8722069599999983e-08
128,3,simple,0.01656266,6.2584424000000795e-09
128,4,simple,0.01261822,8.487015999999938e-10
128,5,simple,0.010464619999999999,3.129781600000016e-09
128,6,simple,0.009062174,2.454263303999992e-09
128,7,simple,0.013001900000000002,1.898068000000009e-09
128,8,simple,0.012356120000000002,6.169881599999997e-09
128,9,simple,0.011383980000000002,1.146056000000024e-10
128,10,simple,0.010263320000000001,3.3987185600000044e-08
128,11,simple,0.009325796,3.9123222399999917e-10
128,12,simple,0.00885853,8.379580439999974e-09
128,13,simple,0.0122565,1.7457195600000004e-07
128,14,simple,0.013148779999999999,7.299351895999999e-07
128,15,simple,0.012526120000000002,3.360460559999991e-08
128,16,simple,0.01316202,8.48942575999998e-08
128,17,simple,0.012287900000000001,1.3370945600000004e-07
128,18,simple,0.0122696,1.4976440000000014e-07
128,19,simple,0.012072499999999998,6.383664000000002e-07
192,1,simple,0.16064499999999998,5.56577479999999e-06
192,2,simple,0.08328965999999999,1.1240146240000057e-07
192,3,simple,0.05650912,5.848883359999982e-08
192,4,simple,0.043199219999999997,5.5579016000002185e-09
192,5,simple,0.03525442,6.009173599999942e-09
192,6,simple,0.029822500000000002,6.086423999999907e-09
192,7,simple,0.043701500000000004,6.031883720000009e-07
192,8,simple,0.041147779999999995,2.5527289600000123e-08
192,9,simple,0.03746592,1.9834856000001625e-09
192,10,simple,0.03505114,1.261485634399999e-06
192,11,simple,0.03114452,1.9268549599999908e-08
192,12,simple,0.028715380000000002,6.545011360000016e-08
192,13,simple,0.03731874,9.875393839999966e-08
192,14,simple,0.03977598,7.990418741599998e-06
192,15,simple,0.0410082,2.9349601599999976e-06
192,16,simple,0.03987496,2.5690472223999976e-06
192,17,simple,0.0363876,1.7577047719999973e-06
192,18,simple,0.03775484,3.501458744000006e-07
192,19,simple,0.03626236,2.3695071439999962e-07
256,1,simple,0.38836560000000003,5.677513440000006e-06
256,2,simple,0.20317880000000002,3.118988455999996e-05
256,3,simple,0.1374652,5.841517599999987e-07
256,4,simple,0.1035382,1.242256000000069e-08
256,5,simple,0.08466804,6.972170640000019e-08
256,6,simple,0.07157024,1.7713062400000554e-08
256,7,simple,0.1028262,9.485813599999962e-07
256,8,simple,0.09701706000000002,1.1143042400000253e-08
256,9,simple,0.08799969999999999,2.0958036799999985e-07
256,10,simple,0.07901228,5.0676736000000964e-09
256,11,simple,0.07317958,1.0409144559999877e-07
256,12,simple,0.06897732000000001,5.147602885600008e-06
256,13,simple,0.08606118,1.5289870615999997e-06
256,14,simple,0.08589178,1.0985707261599996e-05
256,15,simple,0.08597046,1.3523041230400003e-05
256,16,simple,0.08606464,1.7173259410399974e-05
256,17,simple,0.08645768,8.620526657600013e-06
256,18,simple,0.08400488,4.140982453599998e-06
256,19,simple,0.08088448,1.0756894136000008e-06
320,1,simple,0.7727046,2.875149440000034e-06
320,2,simple,0.4036048,5.8765454160000105e-05
320,3,simple,0.2799118,0.00025177562776000005
320,4,simple,0.2073652,2.7421432559999955e-05
320,5,simple,0.1665474,1.7288754399999906e-06
320,6,simple,0.1448634,1.7294965840000016e-05
320,7,simple,0.20415099999999997,5.4690046000000026e-05
320,8,simple,0.19067079999999997,6.75857895999999e-06
320,9,simple,0.1711602,1.8990977599999903e-06
320,10,simple,0.1537716,9.553743999999717e-08
320,11,simple,0.14172939999999998,1.3784977039999987e-05
320,12,simple,0.1328538,8.064727360000002e-06
320,13,simple,0.15767060000000002,4.413336423999993e-05
320,14,simple,0.1552946,2.214795184000001e-05
320,15,simple,0.15943100000000002,7.423136039999999e-05
320,16,simple,0.1559466,1.936434944000002e-05
320,17,simple,0.1534984,9.58023703999999e-06
320,18,simple,0.1435766,1.6946144239999966e-05
320,19,simple,0.14684919999999999,2.173426959999986e-06
384,1,simple,1.381026,1.8910640000000276e-06
384,2,simple,0.7117648000000001,1.8566776000001881e-07
384,3,simple,0.49210580000000004,0.0002930204329600003
384,4,simple,0.3656952,1.0731453600000215e-06
384,5,simple,0.2980458,5.243017359999959e-06
384,6,simple,0.250675,1.8991204000000034e-06
384,7,simple,0.348047,7.344133479999985e-05
384,8,simple,0.3313256,2.883859839999975e-06
384,9,simple,0.297446,2.783364000000147e-07
384,10,simple,0.2716442,2.4920081600000046e-06
384,11,simple,0.24618160000000003,6.309402400000073e-07
384,12,simple,0.22892420000000002,6.344482160000026e-06
384,13,simple,0.281949,9.964623999999973e-05
384,14,simple,0.2737228,4.817641535999988e-05
384,15,simple,0.2677748,3.558154975999986e-05
384,16,simple,0.2641114,0.00016674375303999992
384,17,simple,0.251666,7.49861400000002e-06
384,18,simple,0.24388919999999997,3.487386656000004e-05
384,19,simple,0.2447416,1.7379520240000006e-05
448,1,simple,2.221196,1.2841144000000015e-05
448,2,simple,1.14144,2.064960000000096e-06
448,3,simple,0.7899622,0.0007995424493600004
448,4,simple,0.6008602,0.0009356821389599999
448,5,simple,0.47838840000000005,3.0275406399999833e-06
448,6,simple,0.40577019999999997,1.3390375760000061e-05
448,7,simple,0.5711054,5.473401463999981e-05
448,8,simple,0.52664,1.2908876799999898e-05
448,9,simple,0.4752872,1.2134272960000005e-05
448,10,simple,0.43041940000000006,3.033834399999965e-07
448,11,simple,0.3977088,0.0001044859709599999
448,12,simple,0.3696466,7.570015343999993e-05
448,13,simple,0.42948339999999996,3.118873863999996e-05
448,14,simple,0.4367774000000001,7.910048424000005e-05
448,15,simple,0.42132900000000006,1.904125600000004e-05
448,16,simple,0.40936400000000006,4.148407320000003e-05
448,17,simple,0.40014059999999996,9.817970264e-05
448,18,simple,0.3882606,1.2601936639999915e-05
448,19,simple,0.38679179999999996,2.363922559999968e-06
512,1,simple,3.3363299999999994,0.00013246075999999847
512,2,simple,1.7175539999999998,2.8345384000000316e-05
512,3,simple,1.171922,6.7288959999999695e-06
512,4,simple,0.8862982,1.1193635760000076e-05
512,5,simple,0.7144508,3.7002925599999353e-06
512,6,simple,0.6065562000000001,6.579966160000098e-06
512,7,simple,0.8356916000000002,7.095001584000042e-05
512,8,simple,0.7794168000000001,5.680896775999998e-05
512,9,simple,0.710658,7.3532812000000525e-06
512,10,simple,0.6568113999999999,0.0004995781598400009
512,11,simple,0.5998998,0.00016125345176000013
512,12,simple,0.5448466,1.4507186399999727e-06
512,13,simple,0.6558542,0.00087653684376
512,14,simple,0.6483146000000001,0.00020745809343999995
512,15,simple,0.6450924,2.0636242239999957e-05
512,16,simple,0.611515,4.32848956000002e-05
512,17,simple,0.5900521999999999,0.0001607654077599998
512,18,simple,0.5682814,9.957418504000027e-05
