Matrix Size,Threads Count,Calculation Type,Average Result,Variance
2048,1,simple,369.739,0.0
2048,2,simple,187.849,0.0
2048,3,simple,125.829,0.0
2048,4,simple,94.5844,0.0
2048,5,simple,76.1748,0.0
2048,6,simple,64.3505,0.0
2048,7,simple,73.1389,0.0
2048,8,simple,63.4061,0.0
2048,9,simple,56.4865,0.0
2048,10,simple,53.6638,0.0
2048,11,simple,50.8719,0.0
2048,12,simple,49.4396,0.0
2048,13,simple,52.4703,0.0
2048,14,simple,52.6048,0.0
2048,15,simple,53.2928,0.0
2048,16,simple,53.9666,0.0
2048,17,simple,53.4142,0.0
2048,18,simple,53.3771,0.0
